user_id,activity_id,rating,comments,interest_level,organization_role
1000,1,1,User 1000 feedback for activity 1.,High,Organizer
1000,2,2,User 1000 feedback for activity 2.,High,Host
1000,3,1,User 1000 feedback for activity 3.,Low,Host
1000,4,5,User 1000 feedback for activity 4.,Medium,Host
1000,5,1,User 1000 feedback for activity 5.,High,Host
1000,6,2,User 1000 feedback for activity 6.,Low,Host
1000,7,5,User 1000 feedback for activity 7.,High,Organizer
1000,8,2,User 1000 feedback for activity 8.,Medium,Organizer
1000,9,1,User 1000 feedback for activity 9.,High,Organizer
1000,10,3,User 1000 feedback for activity 10.,Medium,Host
1000,11,2,User 1000 feedback for activity 11.,Medium,Host
1000,12,1,User 1000 feedback for activity 12.,Medium,Host
1000,13,3,User 1000 feedback for activity 13.,Medium,Organizer
1000,14,1,User 1000 feedback for activity 14.,Low,Organizer
1000,15,5,User 1000 feedback for activity 15.,High,Organizer
1000,16,1,User 1000 feedback for activity 16.,Low,Organizer
1000,17,5,User 1000 feedback for activity 17.,Medium,Host
1000,18,1,User 1000 feedback for activity 18.,High,Host
1000,19,3,User 1000 feedback for activity 19.,High,Host
1000,20,1,User 1000 feedback for activity 20.,Medium,Organizer
1000,21,4,User 1000 feedback for activity 21.,Low,Organizer
1000,22,2,User 1000 feedback for activity 22.,Medium,Organizer
1000,23,2,User 1000 feedback for activity 23.,Low,Organizer
1000,24,1,User 1000 feedback for activity 24.,Low,Host
1000,25,5,User 1000 feedback for activity 25.,Low,Host
1000,26,2,User 1000 feedback for activity 26.,Medium,Organizer
1000,27,3,User 1000 feedback for activity 27.,Low,Host
1000,28,3,User 1000 feedback for activity 28.,High,Host
1000,29,1,User 1000 feedback for activity 29.,Medium,Organizer
1000,30,3,User 1000 feedback for activity 30.,High,Host
1000,31,5,User 1000 feedback for activity 31.,Low,Organizer
1000,32,2,User 1000 feedback for activity 32.,Low,Organizer
1000,33,4,User 1000 feedback for activity 33.,Low,Organizer
1000,34,2,User 1000 feedback for activity 34.,Medium,Host
1000,35,2,User 1000 feedback for activity 35.,Low,Organizer
1000,36,5,User 1000 feedback for activity 36.,Medium,Organizer
1000,37,3,User 1000 feedback for activity 37.,High,Host
1000,38,5,User 1000 feedback for activity 38.,Medium,Host
1000,39,1,User 1000 feedback for activity 39.,High,Host
1000,40,2,User 1000 feedback for activity 40.,Low,Organizer
1000,41,5,User 1000 feedback for activity 41.,High,Organizer
1000,42,4,User 1000 feedback for activity 42.,Low,Organizer
1000,43,5,User 1000 feedback for activity 43.,Medium,Host
1000,44,1,User 1000 feedback for activity 44.,Low,Organizer
1000,45,3,User 1000 feedback for activity 45.,High,Organizer
1000,46,4,User 1000 feedback for activity 46.,High,Organizer
1000,47,1,User 1000 feedback for activity 47.,Low,Organizer
1000,48,5,User 1000 feedback for activity 48.,High,Host
1000,49,3,User 1000 feedback for activity 49.,Low,Host
1000,50,2,User 1000 feedback for activity 50.,Medium,Host
1000,51,5,User 1000 feedback for activity 51.,Low,Host
1000,52,5,User 1000 feedback for activity 52.,Medium,Organizer
1000,53,1,User 1000 feedback for activity 53.,High,Organizer
1000,54,3,User 1000 feedback for activity 54.,High,Host
1000,55,2,User 1000 feedback for activity 55.,Low,Host
1000,56,1,User 1000 feedback for activity 56.,Low,Organizer
1000,57,1,User 1000 feedback for activity 57.,Low,Host
1000,58,2,User 1000 feedback for activity 58.,Low,Organizer
1000,59,5,User 1000 feedback for activity 59.,High,Organizer
1000,60,5,User 1000 feedback for activity 60.,Low,Organizer
1000,61,2,User 1000 feedback for activity 61.,Low,Host
1000,62,3,User 1000 feedback for activity 62.,Medium,Organizer
1000,63,4,User 1000 feedback for activity 63.,Low,Organizer
1000,64,1,User 1000 feedback for activity 64.,High,Host
1000,65,1,User 1000 feedback for activity 65.,Medium,Host
1000,66,5,User 1000 feedback for activity 66.,Low,Host
1000,67,5,User 1000 feedback for activity 67.,High,Host
1000,68,1,User 1000 feedback for activity 68.,Low,Host
1000,69,2,User 1000 feedback for activity 69.,High,Host
1000,70,3,User 1000 feedback for activity 70.,High,Host
1000,71,3,User 1000 feedback for activity 71.,Low,Organizer
1000,72,2,User 1000 feedback for activity 72.,Low,Host
1000,73,5,User 1000 feedback for activity 73.,Low,Organizer
1000,74,2,User 1000 feedback for activity 74.,Medium,Organizer
1000,75,2,User 1000 feedback for activity 75.,High,Host
1000,76,4,User 1000 feedback for activity 76.,Medium,Organizer
1000,77,4,User 1000 feedback for activity 77.,Medium,Host
1000,78,1,User 1000 feedback for activity 78.,High,Organizer
1000,79,3,User 1000 feedback for activity 79.,High,Host
1000,80,2,User 1000 feedback for activity 80.,High,Organizer
1000,81,2,User 1000 feedback for activity 81.,Medium,Host
1000,82,3,User 1000 feedback for activity 82.,Medium,Host
1000,83,1,User 1000 feedback for activity 83.,Medium,Host
1000,84,1,User 1000 feedback for activity 84.,Low,Host
1000,85,1,User 1000 feedback for activity 85.,High,Host
1000,86,4,User 1000 feedback for activity 86.,Medium,Organizer
1000,87,2,User 1000 feedback for activity 87.,Medium,Host
1000,88,2,User 1000 feedback for activity 88.,Medium,Host
1000,89,4,User 1000 feedback for activity 89.,Medium,Organizer
1000,90,3,User 1000 feedback for activity 90.,Medium,Organizer
1000,91,2,User 1000 feedback for activity 91.,High,Organizer
1000,92,2,User 1000 feedback for activity 92.,High,Host
1000,93,3,User 1000 feedback for activity 93.,High,Host
1000,94,5,User 1000 feedback for activity 94.,Medium,Host
1000,95,1,User 1000 feedback for activity 95.,Low,Host
1000,96,2,User 1000 feedback for activity 96.,High,Host
1000,97,2,User 1000 feedback for activity 97.,Medium,Host
1000,98,5,User 1000 feedback for activity 98.,High,Host
